id;nombre_cientifico;categoria;grupo;clasificacion_FAO;cultivo;origen_et;origen;vulnerabilidad_et;vulnerabilidad;imp_economica_org;seg_alimentaria_org;incertidumbre;incertidumbre_et;imp_economica;pool_imp_economica;seg_alimentaria;pool_imp_sa;int_banco;int_banco_et
50;Artocarpus heterophyllus;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;NotEvaluated;0;8;57.5;60;Media;8;No;57.5;No;29.12;Bajo
51;Spinacia oleracea;EVA's (MADR) List;Hortalizas;Vegetables and melons;NA;Distant;20;NotEvaluated;0;70;57.5;60;Media;70;No;57.5;No;29.12;Bajo
52;Avena sativa;BGV List;Cereales;Cereals;Avena;Distant;20;MinorConcern;35;36.18;54.04;10;No;36.18;No;54.04;No;27.36;Bajo
53;Ullucus tuberosus;EVA's (MADR) List;Tuberculos;Root/tuber crops with high starch or inulin conten;NA;Local;70;NotEvaluated;0;30;30;90;Alta;30;No;30;No;55;Medio
54;Averrhoa carambola;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;NotEvaluated;0;8;37.5;60;Media;8;No;37.5;No;29.12;Bajo
55;Helianthus annuus;EVA's (MADR) List;Oleaginosas;Oilseed crops;NA;Distant;20;MinorConcern;35;33.5;8;90;Alta;33.5;No;8;No;23.74;Bajo
56;Bactris gasipaes;BGV List;Frutales;Fruits and nuts;Chontaduro;Local;70;Threatened ;75;50;50;60;Media;50;No;50;No;55;Medio
57;Passiflora quadrangularis;EVA's (MADR) List;Frutales;Fruits and nuts;NA;Local;70;MinorConcern;35;53.28;57.5;60;Media;53.28;No;57.5;No;69.12;Medio
59;Medicago sativa;EVA's (MADR) List;Leguminosas;Leguminous crops;NA;Distant;20;MinorConcern;35;30;8;90;Alta;30;No;8;No;15;Bajo
60;Bixa orellana;BGV List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;Frutales amazónicos;Local;70;NotEvaluated;0;50;57.5;60;Media;50;No;57.5;No;69.12;Medio
61;Blighia sapida;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
62;Petroselinum crispum;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;MinorConcern;35;55.93;57.5;60;Media;55.93;No;57.5;No;29.12;Bajo
63;Alibertia patinoi;BGV List;Frutales;Fruits and nuts;Frutales menores;Local;70;NotEvaluated;0;30;8;90;Alta;30;No;8;No;55;Medio
64;Eryngium foetidum;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Local;70;MinorConcern;35;30;8;90;Alta;30;No;8;No;15;Bajo
65;Cajanus cajan;BGV List;Leguminosas;Leguminous crops;Guandul;Distant;20;NotEvaluated;0;40.35;53.92;30;Baja;40.35;No;53.92;No;25.33;Bajo
66;Piper nigrum;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
67;Campomanesia lineatifolia;BGV List;Frutales;Fruits and nuts;Frutales menores;Local;70;MinorConcern;35;30;57.5;60;Media;30;No;57.5;No;29.12;Bajo
68;Curcuma longa;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;NotEvaluated;0;76.93;8;90;Alta;76.93;No;8;No;28.36;Bajo
69;Canna indica;BGV List;Tuberculos;Root/tuber crops with high starch or inulin conten;Achira;Local;70;MinorConcern;35;30;30;90;Alta;30;No;30;No;15;Bajo
70;Thymus vulgaris;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;MinorConcern;35;30;8;90;Alta;30;No;8;No;15;Bajo
71;Capsicum annuum;BGV List;Hortalizas;Vegetables and melons;Ají;Close;45;MinorConcern;35;52.83;35.04;30;Baja;52.83;No;35.04;No;25.85;Bajo
72;Raphanus sativus;EVA's (MADR) List;Hortalizas;Vegetables and melons;NA;Distant;20;MinorConcern;35;70;57.5;90;Alta;70;No;57.5;No;29.12;Bajo
73;Asparagus officinalis;EVA's (MADR) List;Hortalizas;Vegetables and melons;NA;Distant;20;MinorConcern;35;30;8;90;Alta;30;No;8;No;15;Bajo
74;Capsicum frutescens;BGV List;Hortalizas;Vegetables and melons;Ají;Close;45;MinorConcern;35;30;30;90;Alta;30;No;30;No;15;Bajo
75;Carica papaya;BGV List;Frutales;Fruits and nuts;Papaya;Local;70;MinorConcern;35;70;70;10;No;70;No;70;No;90;Alto
76;Ocimum basilicum;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;MinorConcern;35;30;8;90;Alta;30;No;8;No;15;Bajo
77;Caryodendron orinocense;BGV List;Otros permanentes;Other crops;Forestal;Local;70;NotEvaluated;0;8;8;90;Alta;8;No;8;No;55;Medio
78;Cymbopogon citratus;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;NotEvaluated;0;30.48;8;90;Alta;30.48;No;8;No;18.06;Bajo
79;Casimiroa edulis;BGV List;Frutales;Fruits and nuts;Frutales menores;Local;70;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
80;Sechium edule;EVA's (MADR) List;Hortalizas;Vegetables and melons;NA;Close;45;NotEvaluated;0;30;57.5;60;Media;30;No;57.5;No;29.12;Bajo
81;Camellia sinensis;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;NotEvaluated;0;38.81;8;90;Alta;38.81;No;8;No;27.37;Bajo
