"id","nombre_cientifico","categoria","grupo","clasificacion_FAO","cultivo","origen_et","origen","vulnerabilidad_et","vulnerabilidad","imp_economica_org","seg_alimentaria_org","incertidumbre","incertidumbre_et","imp_economica","pool_imp_economica","seg_alimentaria","pool_imp_sa"
319,"Physalis pruinosa","BGV List",NA,"Fruits and nuts","Uchuva","Close",45,"MinorConcern",35,"8","8",90,"Alta","79.7","GP","55.49","GP"
320,"Physalis viscosa","BGV List",NA,"Fruits and nuts","Uchuva","Local",70,"MinorConcern",35,"8","8",90,"Alta","79.7","GP","55.49","GP"
321,"Psidium friedrichsthalianum","BGV List",NA,"Fruits and nuts","Guayaba","Local",70,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
322,"Rubus niveus","BGV List",NA,"Fruits and nuts","Mora","Distant",20,"MinorConcern",35,"8","8",90,"Alta","30","PCG","8","No"
323,"Sesamum indicum","BGV List","Oleaginosas","Oilseed crops","Ajonjolí","Distant",20,"NotEvaluated",0,"8","33.92",90,"Alta","8","No","33.92","No"
324,"Sicana odorifera","BGV List",NA,"Vegetables and melons","Cucurbitaceas","Local",70,"NotEvaluated",0,"8","8",90,"Alta","52.36","GP","57.5","GP"
325,"Solanum amotapense","BGV List",NA,"Vegetables and melons","Tomate de árbol","Local",70,"Threatened ",75,"8","37.5",90,"Alta","57.12","GP","37.5","No"
326,"Solanum andreanum","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
327,"Solanum antipoviczii","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Close",45,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
328,"Solanum atropurpureum","BGV List",NA,"Vegetables and melons","Lulo","Local",70,"NotEvaluated",0,"8","8",90,"Alta","50","GP","50","GP"
329,"Solanum candolleanum","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","57.5",90,"Alta","70.27","GP","57.5","No"
330,"Solanum capsicoides","BGV List",NA,"Vegetables and melons","Lulo","Local",70,"MinorConcern",35,"8","8",90,"Alta","50","GP","50","GP"
331,"Solanum cardiophyllum","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Close",45,"MinorConcern",35,"8","8",90,"Alta","70.27","GP","70","GP"
332,"Solanum caripense","BGV List",NA,"Vegetables and melons","Lulo","Local",70,"NotEvaluated",0,"8","8",90,"Alta","50","GP","50","GP"
333,"Solanum chrenhkigii","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa",NA,NA,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
334,"Solanum colombianum","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"MinorConcern",35,"8","8",90,"Alta","70.27","GP","70","GP"
335,"Solanum commersonii","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
336,"Solanum corymbiflorum","BGV List",NA,"Fruit and nuts","Tomate de árbol","Local",70,"MinorConcern",35,"8","8",90,"Alta","57.12","GP","57.5","GP"
337,"Solanum curtilobum","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
338,"Solanum demissum","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Close",45,"MinorConcern",35,"8","8",90,"Alta","70.27","GP","70","GP"
339,"Solanum depexum* Solanum acaule","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
340,"Solanum diversifolium","BGV List",NA,"Fruit and nuts","Tomate de árbol","Local",70,"MinorConcern",35,"8","8",90,"Alta","57.12","GP","57.5","GP"
341,"Solanum faoensis","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa",NA,NA,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
342,"Solanum ferox","BGV List",NA,"Fruits and nuts","Lulo","Distant",20,"NotEvaluated",0,"8","8",90,"Alta","50","GP","50","GP"
343,"Solanum flahaultii","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
344,"Solanum garcia-barrigae","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
345,"Solanum hartwegii","BGV List",NA,"Fruits and nuts","Tomate de árbol","Close",45,"NotEvaluated",0,"8","8",90,"Alta","57.12","GP","57.5","GP"
346,"Solanum hirtum","BGV List",NA,"Fruit and nuts","Lulo","Close",45,"NotEvaluated",0,"8","8",90,"Alta","50","GP","50","GP"
347,"Solanum jamaicense","BGV List",NA,"Vegetables and melons","Lulo","Close",45,"MinorConcern",35,"8","8",90,"Alta","50","GP","50","GP"
